Host,business/finance,education/research,entertainment,health/medical,news/press,politics/government/law,sports,tech/science
27997,0.2792052924633026,0.11087329685688019,0.33593374490737915,0.044711772352457047,0.02688097581267357,0.06627469509840012,0.02857043780386448,0.10754985362291336
9316,0.05409069359302521,0.006171909626573324,0.004582350607961416,0.03919893130660057,0.048467572778463364,0.03965604305267334,0.0016651249025017023,0.8061673045158386
27045,0.35218510031700134,0.10279940068721771,0.3273524045944214,0.026773709803819656,0.01135180238634348,0.04096449539065361,0.02212449535727501,0.11644866317510605
19805,0.2545156180858612,0.09944961220026016,0.22480633854866028,0.06958987563848495,0.058493178337812424,0.09804289788007736,0.02654794603586197,0.1685546487569809
26580,0.2620340585708618,0.10298220068216324,0.24745000898838043,0.06364257633686066,0.04988276585936546,0.09005855768918991,0.028112264350056648,0.15583761036396027
16886,0.2897587716579437,0.11634354293346405,0.3583328425884247,0.03801845386624336,0.01999785751104355,0.05671379342675209,0.028066255152225494,0.09276841580867767
27931,0.27300721406936646,0.10922367870807648,0.30519938468933105,0.05135820806026459,0.033213939517736435,0.07638457417488098,0.02802770957350731,0.1235852986574173
8977,0.2720285952091217,0.10732465982437134,0.3033005893230438,0.05215229466557503,0.03509771451354027,0.07680314779281616,0.028167488053441048,0.12512558698654175
20285,0.28014451265335083,0.11188285797834396,0.34655213356018066,0.042615581303834915,0.0247061587870121,0.06342557072639465,0.02860986813902855,0.1020633801817894
2427,0.2945728302001953,0.06602886319160461,0.20395530760288239,0.05163399875164032,0.04965070262551308,0.07542316615581512,0.0180033128708601,0.24073182046413422
1324,0.2916013300418854,0.117643341422081,0.35850414633750916,0.03742513433098793,0.019157718867063522,0.05627986416220665,0.027608603239059448,0.09177976101636887
25006,0.2705671787261963,0.10752192884683609,0.29029321670532227,0.05452119559049606,0.037248145788908005,0.08001865446567535,0.02814457006752491,0.13168512284755707
13134,0.2975910007953644,0.021072490140795708,0.3861292004585266,0.01193816214799881,0.028440076857805252,0.22616426646709442,3.136110899504274e-05,0.02863345853984356
11834,0.2791879177093506,0.11086168140172958,0.3357866108417511,0.04474153742194176,0.02691124752163887,0.0663164034485817,0.028569284826517105,0.10762529075145721
19930,0.271734356880188,0.1083664745092392,0.29766321182250977,0.052978649735450745,0.03524402901530266,0.0782785415649414,0.028091134503483772,0.12764349579811096
12212,0.22003138065338135,0.024943839758634567,0.24739409983158112,0.032796647399663925,0.0382143035531044,0.29588910937309265,0.0003330011386424303,0.14039760828018188
14062,0.1748179793357849,0.03997804969549179,0.11257101595401764,0.0730758011341095,0.07301797717809677,0.17566145956516266,0.005830311216413975,0.3450474739074707
18965,0.2621300518512726,0.09911253303289413,0.24527567625045776,0.06336867809295654,0.0491703525185585,0.09720509499311447,0.023648668080568314,0.16008888185024261
10744,0.26756051182746887,0.10552969574928284,0.27220582962036133,0.0582912378013134,0.04240252450108528,0.08408630639314651,0.028240041807293892,0.1416839361190796
20664,0.26575878262519836,0.10482032597064972,0.26415368914604187,0.0600387342274189,0.04463814198970795,0.08624381572008133,0.02814684808254242,0.146199569106102
17021,0.24928446114063263,0.0543082170188427,0.2621961236000061,0.05161362886428833,0.05127629637718201,0.15786585211753845,0.004839894361793995,0.16861559450626373
